Unit,Group Name/Partner,Date and Time,Borough,LocationType,Location,Event Name,Event Type,Category,Classification,Attendance,Audience
Urban Park Rangers,Bayside Historical Society,06/26/2019 05:00:00 PM,Queens,Park,Fort Totten Park,Independence Day Celebration at Fort Totten Park,Community Based Event,Family Festival,,800,General Public
Urban Park Rangers,,06/27/2019 02:30:00 PM,Staten Island,Pool,Tottenville,Jaw Dropping Sharks,Agency Produced Event,Nature,Cool Pools,35,General Public
Urban Park Rangers,,06/27/2019 10:30:00 AM,Queens,Pool,Fisher Pool,Gone Fishin',Agency Produced Event,Nature,Cool Pools,76,General Public
Urban Park Rangers,,06/27/2019 10:30:00 AM,Bronx,Pool,Mapes,Trivia and Backyard Bass,Agency Produced Event,Nature,Cool Pools,120,General Public
Urban Park Rangers,,06/27/2019 02:30:00 PM,Bronx,Pool,Claremont,Trivia and Hungry Hermit Crabs,Agency Produced Event,Nature,Cool Pools,65,General Public
Urban Park Rangers,,06/27/2019 03:00:00 PM,Manhattan,Pool,Wagner,Bugging Out,Agency Produced Event,Nature,Cool Pools,90,General Public
Recreation,,06/27/2019 08:30:00 PM,Manhattan,Recreation Center,Tony Dapolito Recreation Center,Pride Movie Series: Bohemian Rhapsody,Community Based Event,Arts/Culture,Movies,282,Children;#Adults;#Young Adult;#Teens;#General Public;#Seniors;#Adaptive
Recreation,ShapeUp NYC,06/26/2019 07:00:00 PM,Manhattan,Recreation Center,Tony Dapolito Recreation Center,NYC Parks Pride Ride 2019,Agency Produced Event,Fitness,Fitness,39,Young Adult;#Adults;#General Public
Urban Park Rangers,,06/27/2019 03:00:00 PM,Manhattan,Pool,Sheltering Arms,Fish or Not a Fish,Agency Produced Event,Nature,Cool Pools,47,General Public
Urban Park Rangers,,06/27/2019 02:30:00 PM,Queens,Pool,Liberty,Gone Fishin',Agency Produced Event,Nature,Cool Pools,22,General Public
Recreation,,06/15/2018 08:30:00 PM,Staten Island,Other,Midland Field,Movies Under the Stars: Transformers: The Last Knight,Community Based Event,Mobile Unit,Movies,50,General Public
Urban Park Rangers,,06/28/2019 11:00:00 AM,Queens,Pool,Fisher Pool,Connect Four,Agency Produced Event,Nature,Cool Pools,65,General Public
Urban Park Rangers,,06/28/2019 10:30:00 AM,Staten Island,Pool,West Brighton,Leapin' Frogs,Agency Produced Event,Nature,Cool Pools,15,General Public
Urban Park Rangers,,06/27/2019 02:30:00 PM,Brooklyn,Pool,Commodore barry,Cool Pools,Agency Produced Event,Nature,Cool Pools,64,General Public
Urban Park Rangers,,06/28/2019 10:30:00 AM,Manhattan,Pool,Dry Dock,Fish or not a Fish,Agency Produced Event,Nature,Cool Pools,35,General Public
Urban Park Rangers,,06/28/2019 10:30:00 AM,Bronx,Pool,Claremont,Agency Produced Event,Agency Produced Event,Nature,Cool Pools,98,Children;#Adults;#Teens;#Young Adult;#Tot
Recreation,,06/25/2019 08:00:00 PM,Bronx,Park,Williamsbridge Oval Park,Avengers: Infinity Wars,Community Based Event,Mobile Unit,M.U.T.S,93,General Public
